Summary,Issue key,Issue id,Issue Type,Status,Project key,Project name,Project type,Project lead,Project lead id,Priority,Resolution,Reporter,Reporter Id,Creator,Creator Id,Created,Updated,Last Viewed,Resolved,Fix versions,Description,Environment,Watchers,Watchers Id,Status Category
[Regression V1.1] When attempting to deposit to any account value deposited is 10 cents lower than entered amount,S4-34,10033,Bug,To Do,S4,SENG 438,software,Isaiah Lemieux,63cac3f4176040ff3bd29e25,Medium,,Ana Clara Perrone,63cac3ced7f68827e6b69ee5,Ana Clara Perrone,63cac3ced7f68827e6b69ee5,2023-01-26 13:54,2023-01-27 9:12,2023-01-27 9:12,,1.1,When inserting an envelope system prints a receipt with an incorrect value (10 cents lower) that the user selects to deposit,,Ana Clara Perrone,63cac3ced7f68827e6b69ee5,To Do
"[MFT] Card 1 - Starting on screen where user is requested to re-enter pin, entering an incorrect pin twice, then entering in a correct pin results in a screen asking the user to enter the pin. (test case 40)",S4-33,10032,Bug,In Progress,S4,SENG 438,software,Isaiah Lemieux,63cac3f4176040ff3bd29e25,Medium,,Saina,63cac40b0c615857128e01ee,Saina,63cac40b0c615857128e01ee,2023-01-24 12:09,2023-01-24 15:33,2023-01-24 13:32,,,,,Saina,63cac40b0c615857128e01ee,In Progress
"[MFT] Card 1 - Starting on screen where user is requested to re-enter pin, entering an incorrect pin, then entering in a correct pin results in a screen asking the user to enter the pin. (test case 39)",S4-32,10031,Bug,In Progress,S4,SENG 438,software,Isaiah Lemieux,63cac3f4176040ff3bd29e25,Medium,,Saina,63cac40b0c615857128e01ee,Saina,63cac40b0c615857128e01ee,2023-01-24 12:04,2023-01-24 15:32,2023-01-27 9:12,,,,,Saina,63cac40b0c615857128e01ee,In Progress
[MFT] Card 1- System records incorrect transaction amount in the log for transfer ,S4-31,10030,Bug,Done,S4,SENG 438,software,Isaiah Lemieux,63cac3f4176040ff3bd29e25,Medium,Done,Saina,63cac40b0c615857128e01ee,Saina,63cac40b0c615857128e01ee,2023-01-24 11:39,2023-01-24 15:31,2023-01-27 9:12,2023-01-24 15:31,,,,Saina,63cac40b0c615857128e01ee,Done
"[MFT] Card 1- When choosing an amount greater then what the system currently has, customer is not asked to choose a different amount",S4-30,10029,Bug,Done,S4,SENG 438,software,Isaiah Lemieux,63cac3f4176040ff3bd29e25,Medium,Done,Saina,63cac40b0c615857128e01ee,Saina,63cac40b0c615857128e01ee,2023-01-24 11:31,2023-01-24 15:30,2023-01-27 9:12,2023-01-24 15:30,,,,Saina,63cac40b0c615857128e01ee,Done
[MFT] Card 1- System records incorrect transaction amount in the log for deposit,S4-29,10028,Bug,Done,S4,SENG 438,software,Isaiah Lemieux,63cac3f4176040ff3bd29e25,Medium,Done,Saina,63cac40b0c615857128e01ee,Saina,63cac40b0c615857128e01ee,2023-01-24 11:25,2023-01-24 15:28,2023-01-27 9:12,2023-01-24 15:28,,,,Saina,63cac40b0c615857128e01ee,Done
No message sent to bank when customer enters PIN for card,S4-28,10027,Bug,In Progress,S4,SENG 438,software,Isaiah Lemieux,63cac3f4176040ff3bd29e25,Medium,,Isaiah Lemieux,63cac3f4176040ff3bd29e25,Isaiah Lemieux,63cac3f4176040ff3bd29e25,2023-01-23 18:07,2023-01-24 15:27,2023-01-24 11:13,,,"Using card number 1, after entering correct PIN, checking the logs shows no message being sent to or from the bank to verify the PIN.",,Isaiah Lemieux,63cac3f4176040ff3bd29e25,In Progress
Requesting a balance inquiry from the money market account displays causes many errors,S4-27,10026,Bug,Done,S4,SENG 438,software,Isaiah Lemieux,63cac3f4176040ff3bd29e25,Medium,Done,Isaiah Lemieux,63cac3f4176040ff3bd29e25,Isaiah Lemieux,63cac3f4176040ff3bd29e25,2023-01-23 17:53,2023-01-24 15:26,2023-01-27 9:12,2023-01-24 15:26,,"Using card number 1, requesting a balance inquiry for money market account displays “Unknown error” on ATM screen, then ATM dispenses $500, then balance inquiry transaction printed on receipt shows unchanged balance from savings account.",,Isaiah Lemieux,63cac3f4176040ff3bd29e25,Done
"When selecting balance inquiry transaction, savings account is not displayed as an option (also found in MFT Card 1 Testing)",S4-26,10025,Bug,Done,S4,SENG 438,software,Isaiah Lemieux,63cac3f4176040ff3bd29e25,Medium,Done,Isaiah Lemieux,63cac3f4176040ff3bd29e25,Isaiah Lemieux,63cac3f4176040ff3bd29e25,2023-01-23 17:50,2023-01-24 15:26,2023-01-27 9:12,2023-01-24 15:26,,"Using card number 1, when we select Balance Inquiry transaction (option 4), only checking and money market accounts are displayed as selectable accounts on the ATM display.",,Isaiah Lemieux,63cac3f4176040ff3bd29e25,Done
"When attempting to transfer an amount between checking and savings, display shows incorrect order, and incorrect amount is transfered",S4-24,10023,Bug,In Progress,S4,SENG 438,software,Isaiah Lemieux,63cac3f4176040ff3bd29e25,Medium,,Isaiah Lemieux,63cac3f4176040ff3bd29e25,Isaiah Lemieux,63cac3f4176040ff3bd29e25,2023-01-23 17:48,2023-01-26 7:20,2023-01-27 9:12,,,"Using card number 1, attempting to transfer between checking and savings accounts prints an incorrect message on the receipt. For example, attempting to transfer from savings to checking will print “TRANSFER FROM: CHKG TO: SVGS” and vice-versa. Additionally, the amount displayed and change of balance is 50 cents less than the attempted transfer amount entered by the user. For example, attempting to transfer $50 from checking to savings will increment the savings account balance by only $49.50.",,Isaiah Lemieux,63cac3f4176040ff3bd29e25,In Progress
